wind_speed,temp,prs,hum,pow_out
1.293,-12.97,889.608,84.16,0.336809
0.322,-13.122,890.104,84.736,0.328282
1.102,-13.484,889.858,85.205,0.335387
1.234,-13.447,889.804,86.869,0.339651
1.537,-13.672,889.483,87.339,0.341072
1.592,-14.049,890.379,86.485,0.33823
1.302,-14.099,889.746,87.616,0.341072
0.188,-14.516,889.55,87.381,0.341072
0.0,-14.891,889.883,86.293,0.339651
0.0,-14.599,889.742,87.339,0.328282
0.0,-14.891,889.996,87.488,0.335387
0.723,-14.787,889.817,87.424,0.342493
1.4,-14.558,889.979,86.827,0.343914
1.807,-14.499,889.738,86.635,0.335387
1.453,-14.362,890.033,86.101,0.341072
1.51,-14.266,889.779,85.568,0.342493
1.374,-14.62,889.708,85.995,0.342493
1.334,-14.249,889.817,85.973,0.342493
1.382,-14.116,890.112,85.717,0.341072
0.813,-14.049,890.171,85.675,0.342493
1.235,-14.495,890.133,85.483,0.341072
1.084,-14.641,889.908,85.888,0.341072
0.104,-14.891,889.867,85.781,0.341072
0.0,-14.749,890.35,85.419,0.342493
0.85,-15.141,889.879,85.867,0.341072
1.133,-15.083,890.092,85.525,0.341072
0.0,-15.091,890.004,85.525,0.341072
0.0,-15.424,889.996,84.779,0.341072
0.0,-16.339,889.833,84.224,0.342493
0.0,-15.862,890.183,84.843,0.341072
0.208,-15.808,890.017,84.949,0.343914
0.0,-15.341,890.271,85.184,0.342493
0.0,-15.174,890.3,84.608,0.342493
0.0,-15.474,889.883,84.928,0.341072
0.0,-14.991,890.242,85.504,0.343914
0.0,-15.274,889.929,85.269,0.342493
0.0,-15.391,889.921,84.672,0.341072
0.0,-15.574,890.017,84.011,0.342493
0.44,-15.308,889.367,84.843,0.343914
0.0,-15.241,889.888,85.184,0.348178
0.379,-15.574,889.842,84.757,0.348178
0.04,-15.741,889.992,84.757,0.346757
0.48,-15.708,889.933,85.547,0.352441
1.156,-15.691,889.8,85.397,0.356704
0.0,-15.558,889.904,85.419,0.341072
0.0,-15.641,889.729,85.419,0.345335
0.0,-15.824,889.825,84.928,0.343914
0.0,-15.558,890.121,85.013,0.345335
0.0,-15.891,889.533,84.715,0.343914
0.0,-15.914,889.938,84.629,0.345335
0.0,-15.674,889.733,85.355,0.345335
1.344,-14.891,890.275,86.08,0.345335
0.0,-14.937,890.112,85.013,0.348178
0.0,-15.358,889.904,84.971,0.343914
0.0,-14.891,889.542,85.44,0.341072
0.0,-14.891,889.775,84.949,0.345335
0.0,-14.624,890.012,85.717,0.345335
0.285,-13.595,890.042,85.504,0.345335
0.0,-14.183,889.933,84.821,0.343914
0.0,-13.086,889.754,85.461,0.343914
1.017,-11.261,889.962,85.141,0.343914
0.423,-10.834,890.029,84.501,0.341072
0.0,-9.891,890.038,84.373,0.345335
0.047,-9.683,890.262,83.712,0.342493
0.0,-9.291,889.804,83.307,0.342493
0.0,-7.294,889.767,78.165,0.341072
0.0,-6.445,889.567,69.451,0.341072
0.0,-3.723,889.633,68.48,0.341072
0.0,-3.875,889.8,61.227,0.341072
0.0,-2.818,889.975,53.099,0.341072
0.0,-3.097,889.475,51.712,0.341072
0.0,-3.606,889.55,48.064,0.329703
0.0,-3.823,889.792,47.285,0.328282
0.0,-3.656,890.517,47.456,0.341072
0.0,-3.742,889.758,47.2,0.341072
0.0,-6.123,889.583,49.013,0.339651
0.0,-8.13,889.85,52.277,0.341072
0.39,-9.595,890.158,58.251,0.341072
1.392,-10.095,890.683,63.413,0.336809
1.512,-10.166,889.975,66.912,0.339651
1.649,-10.333,889.767,68.523,0.335387
1.606,-10.766,889.85,70.037,0.341072
1.188,-10.816,889.583,70.112,0.341072
1.45,-11.395,890.142,70.4,0.341072
1.479,-12.103,889.833,71.787,0.343914
2.106,-12.67,889.817,73.269,0.296307
1.972,-13.036,889.683,76.288,0.341072
1.41,-12.886,889.792,78.432,0.341072
1.835,-13.447,889.967,79.509,0.341072
2.149,-13.635,890.012,82.731,0.342493
1.991,-13.756,889.692,84.395,0.345335
2.379,-14.016,889.733,85.781,0.355283
2.304,-14.016,889.579,85.355,0.35102
1.068,-14.083,889.408,84.928,0.341072
0.0,-14.828,889.75,83.349,0.339651
1.452,-13.672,890.412,85.696,0.345335
1.437,-12.953,890.121,84.224,0.341072
1.517,-12.686,890.062,84.288,0.341072
1.757,-12.686,889.867,82.816,0.341072
1.371,-13.428,890.0,82.571,0.341072
1.57,-13.449,889.858,83.883,0.356704
1.885,-13.003,889.654,84.288,0.342493
2.402,-13.136,889.933,83.243,0.342493
1.975,-13.922,890.396,82.261,0.343914
2.224,-13.983,889.767,83.221,0.345335
1.838,-14.099,890.125,84.416,0.341072
1.801,-13.983,890.062,85.717,0.341072
1.385,-13.605,890.121,85.931,0.341072
0.457,-13.933,889.712,84.971,0.341072
0.309,-13.868,889.758,85.376,0.342493
0.0,-13.983,889.912,85.013,0.343914
0.0,-13.728,889.767,85.44,0.341072
0.087,-13.916,890.129,84.331,0.341072
0.0,-14.845,890.279,83.072,0.346757
0.208,-15.274,889.567,83.84,0.358126
0.245,-15.641,889.696,85.291,0.341072
1.455,-15.624,889.688,86.635,0.345335
2.357,-14.87,889.738,88.427,0.360968
2.85,-14.662,889.888,88.149,0.346757
3.043,-14.883,889.625,86.144,0.358126
2.083,-14.828,890.375,85.781,0.346757
1.941,-14.924,890.083,86.229,0.345335
1.726,-14.808,889.667,86.4,0.343914
1.368,-14.704,889.771,85.589,0.346757
0.759,-14.766,890.212,85.739,0.345335
1.005,-14.166,890.138,86.229,0.353862
0.0,-14.62,889.767,85.141,0.346757
2.22,-15.108,889.692,85.376,0.365231
2.2,-15.241,890.012,85.035,0.372337
2.14,-15.374,889.696,85.397,0.358126
2.396,-14.999,889.708,85.483,0.28849
3.066,-15.291,889.967,85.269,0.197537
2.538,-15.341,890.188,85.461,0.235198
1.901,-15.274,889.967,85.419,0.370916
1.861,-15.058,890.121,85.568,0.296306
2.786,-15.241,889.95,85.952,0.172668
1.317,-15.124,890.1,85.589,0.314781
1.191,-15.274,889.733,85.589,0.368074
0.568,-15.824,889.95,84.992,0.349599
0.0,-15.788,889.954,84.608,0.349599
0.0,-16.681,889.721,84.245,0.348178
0.0,-15.955,889.988,84.907,0.356704
0.0,-16.424,890.412,83.712,0.359547
0.0,-15.874,890.05,84.619,0.35102
0.0,-16.467,889.975,83.552,0.345335
0.0,-16.446,890.029,83.627,0.349599
0.0,-16.254,889.688,83.392,0.35102
0.144,-15.608,889.8,84.267,0.355283
0.56,-15.241,890.338,84.331,0.378021
0.245,-15.969,890.25,83.371,0.352441
1.424,-15.934,889.792,83.221,0.348178
2.726,-15.955,890.388,83.008,0.369495
2.822,-14.974,889.792,83.968,0.305544
1.868,-14.887,889.975,82.645,0.208907
2.289,-15.534,889.917,80.128,0.202511
0.843,-17.398,889.825,74.624,0.129323
1.696,-15.008,889.892,80.757,0.135008
2.783,-14.066,889.65,80.192,0.270015
2.709,-13.945,889.558,76.672,0.53932
2.847,-13.981,889.658,75.2,0.839179
3.251,-13.186,889.575,73.739,0.769544
2.324,-12.97,890.1,70.112,0.434867
2.496,-13.103,889.5,69.333,0.149219
2.111,-12.266,889.808,68.331,0.254383
2.311,-12.016,889.983,67.979,0.382285
2.586,-12.266,889.775,70.091,0.368074
2.245,-11.932,889.783,68.939,0.379443
2.102,-11.545,890.133,68.789,0.370916
1.874,-11.582,889.675,68.885,0.343914
2.029,-11.545,890.042,67.296,0.341072
2.304,-11.345,890.058,68.203,0.341072
1.643,-11.495,889.608,69.312,0.341072
1.889,-11.361,890.025,70.443,0.341072
1.596,-11.64,889.525,71.787,0.341072
1.384,-11.736,890.158,71.221,0.341072
0.826,-11.661,889.567,70.037,0.335387
0.906,-11.411,890.183,69.291,0.331124
0.423,-11.445,889.625,68.939,0.328282
0.366,-11.428,889.85,68.437,0.332545
0.312,-11.445,889.642,69.536,0.333966
0.0,-11.711,889.642,71.2,0.339651
0.0,-11.836,890.142,71.264,0.341072
0.0,-11.766,889.967,71.531,0.341072
0.057,-12.12,889.9,73.163,0.341072
0.0,-12.486,889.75,75.232,0.341072
1.35,-12.593,890.225,77.141,0.341072
0.521,-12.536,889.95,79.488,0.341072
1.259,-12.686,889.829,82.112,0.341072
0.0,-12.67,889.708,83.584,0.341072
0.0,-12.87,889.725,84.523,0.341072
0.0,-13.036,889.825,83.968,0.341072
0.473,-14.212,890.358,83.157,0.341072
0.53,-14.52,889.854,83.968,0.341072
0.0,-14.874,889.838,83.925,0.341072
0.476,-14.495,890.092,85.803,0.341072
1.005,-14.599,890.042,84.693,0.341072
1.194,-14.787,890.021,84.437,0.341072
0.538,-15.491,890.196,83.008,0.341072
1.02,-14.878,889.704,84.117,0.339651
0.091,-15.008,890.112,84.075,0.341072
0.978,-14.704,890.05,84.245,0.341072
0.124,-14.724,890.062,85.696,0.341072
0.893,-14.999,889.879,85.163,0.341072
0.473,-14.92,889.988,84.288,0.341072
0.42,-15.491,890.029,83.115,0.341072
1.175,-14.804,889.808,85.056,0.343914
1.211,-14.683,890.388,85.035,0.341072
1.491,-14.599,890.021,85.099,0.345335
1.602,-15.124,889.783,83.584,0.342493
1.473,-15.091,889.958,84.181,0.343914
1.659,-14.641,889.712,86.229,0.341072
2.0,-14.516,889.683,86.656,0.349599
2.29,-14.558,889.471,87.339,0.345335
2.439,-14.599,890.092,84.885,0.366652
2.824,-14.766,889.792,83.819,0.365231
2.431,-14.787,889.658,83.072,0.360968
2.422,-15.091,890.079,81.163,0.365231
2.521,-14.808,889.583,81.12,0.342493
2.458,-15.358,889.975,78.763,0.362389
2.141,-15.274,889.875,79.072,0.355283
1.938,-15.274,889.85,78.933,0.365231
2.546,-15.108,890.05,78.603,0.366652
2.489,-15.391,889.825,78.112,0.348178
2.607,-15.374,889.758,78.549,0.355283
2.207,-15.024,890.067,78.603,0.306965
3.333,-15.558,890.117,79.936,0.35102
2.617,-16.066,889.85,80.203,2.302947
2.167,-16.531,890.462,82.88,3.201103
2.533,-16.296,890.079,84.395,4.190212
3.34,-16.36,890.021,85.781,5.285195
4.097,-15.981,889.654,85.931,4.279032
3.098,-16.382,890.212,85.589,2.60778
2.881,-16.275,889.938,85.995,1.135485
2.293,-16.981,889.692,83.861,0.520135
1.122,-17.298,889.671,84.992,0.331834
1.834,-16.446,890.462,87.04,0.156325
1.452,-16.296,889.838,86.528,0.490291
1.727,-16.339,889.467,85.717,1.377078
2.012,-16.531,890.046,84.949,1.972533
2.174,-16.33,890.325,84.672,2.675284
2.365,-16.814,889.971,84.459,2.472061
2.089,-16.931,889.283,84.843,1.230702
1.803,-17.098,889.975,85.504,0.304833
2.18,-16.831,890.321,86.549,0.220276
2.194,-16.931,890.583,86.912,0.942211
2.398,-16.881,890.05,87.125,0.94079
2.162,-16.731,890.35,87.381,0.262199
1.754,-16.605,889.671,87.083,0.36381
2.545,-16.467,889.896,86.443,0.296306
1.886,-16.424,889.879,86.656,0.356704
2.146,-16.424,889.854,85.419,0.30057
1.686,-15.896,890.254,84.971,0.330414
1.697,-15.824,889.817,84.096,0.341072
1.771,-14.937,889.996,83.776,0.366652
2.016,-14.408,890.221,82.197,0.283516
2.018,-14.558,889.508,80.555,1.278309
3.318,-14.891,889.662,81.515,1.934162
2.576,-14.504,889.792,82.88,1.550456
2.223,-14.149,890.033,82.677,0.984135
2.437,-14.216,889.921,82.261,1.360735
2.059,-14.183,889.954,81.675,0.942922
2.009,-14.149,889.667,81.184,0.237329
2.191,-14.116,889.767,81.12,0.292043
3.144,-14.183,889.967,81.835,0.753201
3.062,-14.266,889.833,83.584,1.55472
1.729,-13.71,889.858,83.307,1.325917
2.461,-13.522,889.433,82.155,0.786597
1.978,-13.086,889.779,81.525,1.934873
2.453,-13.086,889.95,80.096,0.493133
2.566,-13.003,889.45,78.955,0.23875
2.842,-12.936,889.917,79.072,0.101611
3.379,-12.82,889.742,78.048,0.105874
3.007,-13.02,890.325,79.52,0.427761
2.633,-12.62,889.658,77.653,0.251541
1.575,-12.82,890.125,77.387,0.278542
2.019,-12.82,889.717,75.467,0.339651
3.44,-13.174,890.0,76.704,0.326861
2.821,-13.357,889.892,79.691,0.206775
2.254,-13.284,889.833,80.16,0.138561
2.214,-13.597,889.908,81.152,0.31336
2.634,-13.966,889.483,81.696,0.331835
2.713,-14.154,890.175,83.157,0.27214700000000003
2.734,-14.849,889.708,84.267,0.1883
2.794,-15.054,890.154,85.269,0.30057
3.187,-15.341,889.858,85.504,0.22596
2.092,-15.791,890.025,86.635,0.294885
1.276,-16.446,889.979,86.037,0.332545
2.398,-16.467,889.692,86.571,0.333966
1.784,-16.798,890.033,87.125,0.345335
0.521,-16.714,889.421,86.251,0.331124
1.235,-16.51,889.917,86.677,0.329703
0.0,-16.914,890.188,86.421,0.332545
0.0,-17.214,889.812,86.293,0.335387
0.0,-16.898,889.475,86.635,0.345335
1.3,-16.781,890.071,86.464,0.355283
2.385,-16.798,889.817,85.739,0.322597
1.357,-16.524,890.296,85.483,0.349599
1.845,-16.831,890.292,85.653,0.120796
2.113,-16.898,890.246,85.44,0.128613
2.792,-16.964,890.017,84.992,0.206064
2.07,-16.998,890.017,85.291,0.233776
0.944,-16.572,890.125,85.205,0.368074
2.33,-16.831,890.338,84.843,0.355283
3.27,-16.798,890.15,85.184,0.262199
2.465,-17.271,884.45,85.141,0.279963
1.472,-17.521,884.075,84.843,0.353862
0.0,-17.171,883.912,85.333,0.345335
0.034,-17.522,883.471,84.651,0.345335
0.571,-17.026,879.708,85.781,0.35102
0.688,-17.521,884.238,84.416,0.333256
1.978,-17.098,875.029,84.875,0.362389
2.193,-17.175,865.333,84.331,0.324729
1.801,-17.304,869.679,84.245,0.31336
2.049,-17.209,865.671,84.288,0.140692
1.66,-17.225,865.675,84.288,0.233777
2.15,-17.373,867.529,84.651,0.268594
0.45,-17.384,873.35,84.16,0.336098
0.0,-16.84,887.633,84.864,0.35102
0.0,-16.531,890.354,84.523,0.341072
0.279,-16.505,889.908,84.416,0.341072
0.622,-17.318,887.362,83.861,0.342493
0.0,-17.354,884.396,83.541,0.341072
0.735,-17.471,884.725,83.968,0.341072
0.0,-17.6,887.888,83.563,0.343914
0.0,-17.531,890.2,83.776,0.341072
0.416,-17.735,886.162,83.317,0.342493
0.0,-17.597,876.046,83.328,0.342493
0.124,-17.502,886.546,83.968,0.343914
1.371,-17.166,873.671,84.011,0.345335
0.0,-17.209,880.317,83.264,0.35102
0.595,-17.227,878.646,83.499,0.349599
0.299,-17.108,880.442,83.328,0.346757
0.0,-17.512,877.717,83.349,0.342493
0.185,-17.447,876.008,83.541,0.348178
0.0,-17.307,881.346,83.435,0.342493
1.388,-17.202,871.704,83.285,0.349599
2.14,-17.021,884.454,83.2,0.365231
1.132,-17.064,890.033,83.563,0.352441
1.273,-17.865,888.821,82.08,0.35102
0.41,-17.914,890.196,82.848,0.352441
1.706,-17.564,890.446,83.541,0.352441
1.868,-17.914,890.158,83.093,0.353862
1.488,-18.468,889.95,81.461,0.35102
0.0,-17.481,890.021,83.477,0.349599
0.161,-17.148,890.221,83.285,0.349599
0.316,-17.481,889.908,82.245,0.35102
0.0,-16.743,889.912,82.891,0.349599
1.265,-16.714,890.25,81.376,0.349599
1.801,-16.296,889.692,80.896,0.369495
2.087,-15.191,889.892,81.579,0.368074
1.879,-14.724,889.7,80.379,0.358126
2.55,-14.233,890.292,78.139,0.32544
3.326,-13.07,889.6,76.971,0.208907
3.549,-13.67,889.983,75.035,0.135008
3.089,-14.116,889.758,75.28,0.216012
3.672,-14.199,890.025,74.928,0.114401
4.491,-14.033,889.875,75.035,0.881103
5.122,-14.078,889.958,74.085,3.220999
5.09,-13.883,889.583,73.792,3.504515
4.572,-13.728,890.042,73.36,2.288025
4.663,-13.524,889.85,73.413,1.568931
4.609,-13.122,890.192,72.965,2.464956
4.686,-12.949,890.125,73.195,2.737103
4.314,-13.12,890.1,72.656,2.624123
3.814,-12.586,889.658,71.909,1.901476
3.349,-12.62,889.708,71.248,0.68996
3.568,-12.553,889.65,70.763,1.441029
3.907,-11.974,890.117,69.957,1.638567
3.606,-11.786,889.825,70.069,2.076276
4.01,-12.016,889.692,70.907,3.066806
3.794,-12.436,889.633,72.267,1.777838
3.371,-11.911,889.875,72.363,1.249176
3.283,-12.436,889.942,73.627,0.532925
1.768,-11.62,889.608,72.395,0.25083
3.263,-11.611,889.475,71.632,0.186169
3.22,-12.036,889.742,73.605,0.761727
3.251,-12.336,890.017,74.816,0.986267
3.687,-12.157,889.692,75.536,1.31668
3.151,-12.52,889.758,77.941,0.60185
3.028,-12.195,889.517,78.283,0.657274
2.699,-11.911,889.708,77.653,0.586218
2.599,-11.595,889.692,75.968,0.530083
3.171,-12.436,889.567,75.264,0.685697
3.271,-12.195,889.65,76.363,1.624355
3.404,-11.636,889.842,74.816,1.860264
3.764,-11.495,889.325,75.445,3.159179
3.375,-11.411,889.992,75.435,2.424453
3.8,-10.576,889.775,72.443,2.696601
3.736,-10.632,889.908,73.088,2.536012
3.648,-10.466,890.05,75.701,1.932741
4.546,-10.67,890.167,74.768,2.93464
3.065,-11.566,890.217,75.947,3.623179
3.093,-11.69,889.525,77.675,0.746095
3.574,-12.12,889.658,78.219,0.594034
3.192,-12.253,889.5,78.939,2.337054
3.524,-12.67,890.033,80.987,2.986512
3.905,-12.52,890.229,82.123,2.666046
2.96,-12.786,889.954,82.24,2.162965
1.979,-12.62,890.058,83.307,1.807681
3.886,-12.703,889.988,84.64,2.177887
2.356,-12.986,889.754,84.096,2.717207
1.31,-13.036,889.75,84.853,2.356239
2.126,-13.56,889.846,84.544,2.895559
2.892,-14.066,889.912,84.757,7.522058
4.564,-13.597,890.117,86.251,12.596215
4.729,-13.207,889.829,82.731,12.367413
5.779,-13.053,889.875,80.416,13.608062
5.491,-13.312,889.917,76.512,11.939652
6.09,-13.689,889.717,76.667,15.970696
5.725,-13.24,889.742,78.773,19.918604
4.636,-13.186,889.892,75.899,11.397489
4.129,-13.878,889.867,76.117,7.447449
4.667,-13.036,889.858,77.248,7.568245
5.377,-14.42,889.692,73.6,15.898929
6.75,-13.799,890.075,75.413,29.723003
7.395,-13.691,890.05,74.795,36.12663
8.249,-12.77,890.008,74.965,35.379112
8.128,-12.77,889.925,71.232,31.443996
7.72,-13.357,890.167,72.651,28.972645
8.036,-13.428,889.642,73.771,29.424564
6.949,-12.436,890.158,72.203,30.989233
9.239,-12.503,890.05,71.029,32.081375
9.08,-11.953,889.675,71.744,31.339542
7.464,-12.016,889.65,73.323,30.94802
7.773,-12.37,890.325,70.709,32.801888
7.894,-12.77,889.75,72.427,33.160015
7.711,-12.903,889.875,72.277,32.97882
7.196,-12.161,889.55,71.787,31.734617
7.17,-12.036,889.842,71.36,31.02405
7.803,-11.67,890.167,70.016,31.378622
10.279,-12.011,889.467,70.869,33.236046
12.019,-12.653,890.075,72.747,34.677074
11.034,-11.107,889.75,69.835,32.926235
10.487,-11.54,890.075,68.032,32.73154
10.23,-12.986,889.558,70.176,32.047977
8.468,-13.174,889.658,70.688,35.516254
8.532,-13.203,890.325,70.464,35.568123
7.77,-13.87,890.342,70.645,37.949944
8.025,-13.999,889.333,71.893,47.32516
8.13,-13.653,889.708,72.224,39.366814
6.923,-13.353,889.55,71.307,27.301392
6.238,-13.155,889.958,70.187,22.770107
6.066,-12.686,889.933,68.331,20.784784
5.522,-12.057,889.467,66.869,19.14977
5.499,-11.145,889.775,65.739,21.221785
5.86,-10.191,889.9,63.712,21.85774
6.931,-9.537,889.858,63.019,24.67656
7.153,-8.724,889.65,61.685,30.068338
7.212,-7.809,890.075,59.872,31.189611
6.564,-7.289,890.308,58.891,30.63324
7.763,-5.997,890.2,56.16,19.404865
8.247,-6.478,889.7,56.843,19.755884000000002
6.864,-5.592,889.867,55.131,25.119951
7.491,-5.644,889.858,54.491,29.421013
8.477,-6.216,889.908,57.083,39.33839
9.657,-6.363,889.783,57.616,49.65582
8.9,-6.037,889.692,57.397,54.715054
8.462,-6.076,889.558,57.131,51.682354
8.238,-5.628,889.642,55.872,41.45659
8.211,-5.747,889.35,56.96,39.63683
7.901,-6.478,890.142,59.269,38.552505
8.203,-6.645,889.967,60.501,36.788166
8.208,-6.495,889.775,59.605,35.919853
6.919,-6.041,890.15,59.984,31.80212
6.872,-6.076,889.8,60.181,29.3059
7.888,-6.037,889.883,59.173,39.376762
7.578,-5.997,889.767,58.843,44.08924
7.769,-5.8,890.075,58.144,41.41609
7.912,-6.416,890.125,59.691,40.161938
6.86,-6.612,890.142,60.085,27.52451
7.091,-6.512,889.792,60.155,23.507675
6.123,-7.091,889.758,63.115,19.979713
6.94,-7.384,889.958,64.379,24.03989
7.613,-7.539,890.075,64.8,24.08821
6.794,-7.913,889.775,65.413,19.909367
5.437,-8.464,890.442,65.84,14.916926
5.605,-8.991,890.45,67.269,11.315063
5.773,-9.508,889.825,68.603,9.886114
4.637,-10.599,889.533,69.696,13.803468
5.11,-10.351,889.967,71.584,15.125122
5.408,-11.466,889.675,72.416,14.209201
5.451,-11.14,889.767,72.309,14.022322
6.1,-12.47,889.858,71.669,17.41954
6.276,-12.636,890.017,73.472,21.13083
6.338,-12.52,890.117,73.355,22.39706
6.46,-12.57,889.767,73.717,22.566887
5.808,-12.436,890.008,73.003,18.264404
5.648,-12.636,890.083,73.483,18.277906
5.788,-12.586,889.908,72.64,18.152847
6.023,-12.436,889.658,72.757,17.867908
5.714,-12.47,889.683,72.021,14.731468
4.961,-13.103,889.592,72.661,12.647376
5.692,-13.103,890.058,73.483,14.118249
5.736,-13.635,889.817,73.973,15.252314
5.266,-13.17,889.617,74.165,13.657091
5.336,-13.372,889.867,74.816,15.488932
5.222,-13.203,889.958,74.208,14.113986
5.425,-13.136,889.892,73.888,12.913838
5.493,-13.484,889.708,74.112,14.372632
5.58,-13.76,889.758,74.891,14.351315
6.105,-13.578,889.717,74.389,14.85937
5.527,-13.503,889.933,73.387,13.624405
5.084,-13.71,889.842,73.952,10.657079
5.041,-13.428,889.775,73.28,10.117048
5.005,-13.372,890.017,72.757,10.492227
5.449,-13.578,890.208,72.181,10.858169
5.455,-14.066,890.075,72.96,12.071106
5.718,-13.916,889.742,73.397,11.657556
4.923,-14.049,889.833,73.131,9.973514
4.503,-14.199,889.875,73.813,8.720784
4.762,-14.133,889.692,73.888,8.880662
4.8,-13.578,889.533,73.173,8.403872
5.231,-14.149,890.3,72.789,8.142383
5.386,-14.016,889.842,74.453,8.157305
4.707,-14.454,889.9,73.664,8.50193
4.79,-14.537,890.3,72.885,6.743277
4.588,-14.341,890.017,72.757,7.718886
4.602,-14.374,889.942,72.075,6.247302
4.529,-14.849,890.008,72.661,4.694003
4.188,-14.87,889.95,72.149,5.979418
5.427,-15.474,889.967,74.027,8.153042
5.225,-15.291,889.6,73.067,7.196619
4.846,-15.374,889.758,74.037,5.399596
4.962,-15.391,889.775,73.909,5.170083
4.139,-15.291,890.033,73.963,3.737581
4.137,-14.683,890.225,72.832,2.695179
4.372,-15.424,889.533,72.853,1.706781
3.793,-15.658,889.9,73.333,1.453819
3.394,-16.36,889.783,74.699,0.729041
3.189,-16.0,889.958,74.699,0.247988
3.762,-15.524,889.475,74.251,0.871865
3.549,-15.608,889.767,72.853,1.75581
3.689,-15.224,889.917,73.408,1.658463
3.007,-15.914,889.958,70.496,1.222885
3.687,-16.372,890.242,73.024,0.731884
2.754,-16.764,890.058,74.837,0.216012
1.351,-15.841,889.9,73.333,0.311228
2.301,-13.191,889.683,74.848,0.341072
2.256,-11.678,889.675,64.8,0.266462
2.881,-13.482,889.625,60.629,0.272858
2.123,-12.536,889.892,64.949,0.449789
2.073,-10.853,890.008,63.648,1.610855
3.158,-10.316,889.85,60.907,3.656576
3.526,-9.954,889.35,59.307,5.945311
4.041,-9.399,889.575,57.856,5.810304
3.356,-8.33,889.975,55.381,4.153262
2.584,-7.973,889.842,53.077,2.674573
2.382,-7.516,889.6,51.392,1.917819
3.108,-7.281,889.85,51.861,2.067038
3.112,-7.416,889.617,51.744,1.813366
3.554,-7.15,889.608,52.171,2.472772
3.054,-7.032,889.858,54.037,3.069648
3.112,-7.15,889.708,55.179,3.136441
3.334,-7.376,890.008,56.971,3.841323
2.771,-7.032,890.133,57.707,2.989354
3.005,-7.012,889.942,60.597,3.095939
